ID_MAGASIN;ID_FAMILLE_PRODUIT;ID_TEMPS;VENTES_OBJECTIF;VENTES_REEL;CA_OBJECTIF;CA_REEL;MARGE_OBJECTIF;MARGE_REEL;DATE_MAJ;DATE_SAVE
16;3;201511;514;580;2336.0;5808.7;56.0;98.0;22-03-2016;22-03-2016
17;1;201511;497;397;6068.0;2210.57;39.0;16.0;22-03-2016;22-03-2016
17;2;201511;278;961;4645.0;9828.67;17.0;46.0;22-03-2016;22-03-2016
17;3;201511;441;772;8474.0;7462.08;93.0;80.0;22-03-2016;22-03-2016
18;1;201511;671;721;705.0;68.47;68.0;43.0;22-03-2016;22-03-2016
18;2;201511;499;631;9979.0;9183.5;64.0;12.0;22-03-2016;22-03-2016
18;3;201511;389;130;1413.0;3105.3;44.0;89.0;22-03-2016;22-03-2016
7;1;201511;293;926;3588.0;3364.49;15.0;88.0;22-03-2016;22-03-2016
7;2;201511;324;529;6517.0;645.69;24.0;81.0;22-03-2016;22-03-2016
7;3;201511;595;381;3355.0;2978.35;11.0;18.0;22-03-2016;22-03-2016
8;1;201511;596;538;2426.0;6587.15;77.0;22.0;22-03-2016;22-03-2016
8;2;201511;648;253;6645.0;6274.87;8.0;3.0;22-03-2016;22-03-2016
8;3;201511;302;32;2403.0;8006.05;62.0;28.0;22-03-2016;22-03-2016
9;1;201511;599;833;590.0;7902.81;84.0;22.0;22-03-2016;22-03-2016
9;2;201511;601;702;8012.0;4246.44;50.0;44.0;22-03-2016;22-03-2016
9;3;201511;501;947;5713.0;5213.19;67.0;69.0;22-03-2016;22-03-2016
10;1;201511;270;348;1800.0;6464.47;42.0;11.0;22-03-2016;22-03-2016
10;2;201511;512;375;860.0;3313.83;4.0;80.0;22-03-2016;22-03-2016
10;3;201511;566;714;2836.0;2928.3;83.0;42.0;22-03-2016;22-03-2016
11;1;201511;100;850;8768.0;1567.65;92.0;87.0;22-03-2016;22-03-2016
11;2;201511;211;544;5702.0;7183.97;98.0;32.0;22-03-2016;22-03-2016
11;3;201511;342;124;3163.0;7809.43;99.0;21.0;22-03-2016;22-03-2016
12;1;201511;283;405;6817.0;2768.18;77.0;46.0;22-03-2016;22-03-2016
12;2;201511;337;88;1470.0;1990.01;9.0;21.0;22-03-2016;22-03-2016
12;3;201511;347;23;4077.0;2408.5;17.0;13.0;22-03-2016;22-03-2016
25;1;201511;108;300;1525.0;2500.98;28.0;18.0;22-03-2016;22-03-2016
25;2;201511;713;884;2383.0;4247.44;57.0;71.0;22-03-2016;22-03-2016
25;3;201511;26;292;3513.0;6222.59;94.0;15.0;22-03-2016;22-03-2016
1;1;201511;614;655;4347.0;9882.49;51.0;17.0;22-03-2016;22-03-2016
1;2;201511;38;740;9725.0;8775.62;8.0;65.0;22-03-2016;22-03-2016
1;3;201511;120;282;3871.0;2956.29;15.0;29.0;22-03-2016;22-03-2016
2;1;201511;117;934;365.0;3326.72;39.0;62.0;22-03-2016;22-03-2016
2;2;201511;742;122;3804.0;7205.17;52.0;32.0;22-03-2016;22-03-2016
2;3;201511;888;969;9734.0;821.79;57.0;72.0;22-03-2016;22-03-2016
3;1;201511;746;695;4122.0;5998.7;20.0;13.0;22-03-2016;22-03-2016
3;2;201511;729;749;2857.0;3360.0;81.0;72.0;22-03-2016;22-03-2016
3;3;201511;615;780;3260.0;342.29;37.0;84.0;22-03-2016;22-03-2016
20;1;201511;389;192;722.0;9163.19;19.0;64.0;22-03-2016;22-03-2016
20;2;201511;502;30;4037.0;2776.15;22.0;8.0;22-03-2016;22-03-2016
20;3;201511;212;823;8263.0;6913.02;44.0;58.0;22-03-2016;22-03-2016
21;1;201511;321;686;8531.0;4134.37;52.0;87.0;22-03-2016;22-03-2016
21;2;201511;528;689;7472.0;9618.77;93.0;14.0;22-03-2016;22-03-2016
21;3;201511;786;980;8225.0;8247.3;66.0;56.0;22-03-2016;22-03-2016
22;1;201511;732;885;4917.0;1346.2;86.0;50.0;22-03-2016;22-03-2016
22;2;201511;22;677;7118.0;163.56;78.0;10.0;22-03-2016;22-03-2016
22;3;201511;339;344;5404.0;6002.25;53.0;86.0;22-03-2016;22-03-2016
23;1;201511;14;598;4177.0;4070.37;19.0;9.0;22-03-2016;22-03-2016
23;2;201511;478;501;3978.0;8267.6;55.0;70.0;22-03-2016;22-03-2016
23;3;201511;352;229;3891.0;3598.08;9.0;84.0;22-03-2016;22-03-2016
24;1;201511;788;578;5158.0;9661.49;46.0;22.0;22-03-2016;22-03-2016
24;2;201511;222;567;7009.0;9456.93;95.0;22.0;22-03-2016;22-03-2016
24;3;201511;263;387;8519.0;2427.35;24.0;33.0;22-03-2016;22-03-2016
4;1;201511;41;651;2004.0;8031.09;6.0;35.0;22-03-2016;22-03-2016
4;2;201511;705;721;9552.0;9858.73;66.0;56.0;22-03-2016;22-03-2016
4;3;201511;546;210;3853.0;7713.86;82.0;8.0;22-03-2016;22-03-2016
5;1;201511;94;262;93.0;8655.17;33.0;41.0;22-03-2016;22-03-2016
5;2;201511;71;359;5706.0;8835.2;52.0;91.0;22-03-2016;22-03-2016
5;3;201511;969;30;4061.0;154.91;1.0;84.0;22-03-2016;22-03-2016
6;1;201511;456;261;2714.0;4093.78;18.0;40.0;22-03-2016;22-03-2016
6;2;201511;845;357;6889.0;1053.97;4.0;4.0;22-03-2016;22-03-2016
6;3;201511;155;547;641.0;3531.95;45.0;72.0;22-03-2016;22-03-2016
13;1;201511;959;837;6075.0;3504.93;1.0;46.0;22-03-2016;22-03-2016
