"ID_DEPARTEMENT";"CODE_DEPARTEMENT";"LIB_DEPARTEMENT";"ID_REGION_ADMIN1";"ID_REGION_ADMIN2";"ID_REGION_COM";"DATEMAJ_DEP"
1;"25";"Doubs";10;27;2;01/03/16
2;"57";"Moselle";15;23;2;01/03/16
3;"30";"Gard";13;29;4;01/03/16
4;"12";"Aveyron";16;29;3;01/03/16
5;"33";"Gironde";2;24;3;01/03/16
6;"77";"Seine-et-Marne";12;12;5;01/03/16
7;"44";"Loire-Atlantique";18;18;1;01/03/16
8;"76";"Seine-Maritime";11;26;1;01/03/16
9;"26";"Drôme";22;25;4;01/03/16
10;"62";"Pas-de-Calais";17;30;2;01/03/16
11;"04";"Alpes-de-Haute-Provence";21;21;4;01/03/16
12;"09";"Ariège";16;29;3;01/03/16
13;"38";"Isère";22;25;4;01/03/16
14;"87";"Haute-Vienne";14;24;3;01/03/16
15;"24";"Dordogne";2;24;3;01/03/16
16;"22";"Côtes-d'Armor";6;6;1;01/03/16
17;"73";"Savoie";22;25;4;01/03/16
18;"92";"Hauts-de-Seine";12;12;5;01/03/16
19;"06";"Alpes-Maritimes";21;21;4;01/03/16
20;"64";"Pyrénées-Atlantiques";6;24;3;01/03/16
21;"18";"Cher";7;7;4;01/03/16
22;"42";"Loire";22;25;4;01/03/16
23;"65";"Hautes-Pyrénées";16;29;3;01/03/16
24;"16";"Charente";20;24;3;01/03/16
25;"93";"Seine-St-Denis";12;12;5;01/03/16
26;"95";"Val-d'Oise";12;12;5;01/03/16
27;"29";"Finistère";6;6;1;01/03/16
28;"83";"Var";21;21;3;01/03/16
29;"37";"Indre-et-Loire";7;7;1;01/03/16
30;"10";"Aube";8;23;2;01/03/16
31;"78";"Yvelines";12;12;5;01/03/16
32;"61";"Orne";4;26;1;01/03/16
33;"80";"Somme";19;30;1;01/03/16
34;"49";"Maine-et-Loire";18;18;1;01/03/16
35;"2B";"Corse-du-Sud";9;9;4;01/03/16
36;"11";"Aude";13;29;3;01/03/16
37;"63";"Puy-de-Dôme";3;25;4;01/03/16
38;"94";"Val-de-Marne";12;12;5;01/03/16
39;"21";"Côte-d'Or";5;27;2;01/03/16
40;"91";"Essonne";12;12;5;01/03/16
41;"59";"Nord";17;30;2;01/03/16
42;"54";"Meurthe-et-Moselle";15;23;2;01/03/16
43;"75";"Paris";12;12;5;01/03/16
44;"67";"Bas-Rhin";1;23;2;01/03/16
45;"69";"Rhône";22;25;4;01/03/16
46;"13";"Bouches-du-Rhône";21;21;4;01/03/16
