ID_MAGASIN;ID_FAMILLE_PRODUIT;ID_TEMPS;VENTES_OBJECTIF;VENTES_REEL;CA_OBJECTIF;CA_REEL;MARGE_OBJECTIF;MARGE_REEL;DATE_MAJ;DATE_SAVE
13;3;201510;534;;3932;;22;;14-03-2016;14-03-2016
14;1;201510;572;;6370;;82;;14-03-2016;14-03-2016
14;2;201510;541;;2013;;4;;14-03-2016;14-03-2016
14;3;201510;951;;9786;;59;;14-03-2016;14-03-2016
26;1;201510;212;;4925;;14;;14-03-2016;14-03-2016
26;2;201510;955;;7279;;100;;14-03-2016;14-03-2016
26;3;201510;384;;4673;;58;;14-03-2016;14-03-2016
27;1;201510;227;;1196;;3;;14-03-2016;14-03-2016
27;2;201510;992;;1544;;18;;14-03-2016;14-03-2016
27;3;201510;266;;2049;;21;;14-03-2016;14-03-2016
28;1;201510;119;;6635;;35;;14-03-2016;14-03-2016
28;2;201510;991;;9883;;94;;14-03-2016;14-03-2016
28;3;201510;730;;4682;;50;;14-03-2016;14-03-2016
29;1;201510;22;;9730;;61;;14-03-2016;14-03-2016
29;2;201510;422;;5370;;92;;14-03-2016;14-03-2016
29;3;201510;75;;7143;;48;;14-03-2016;14-03-2016
30;1;201510;578;;4470;;18;;14-03-2016;14-03-2016
30;2;201510;567;;7606;;79;;14-03-2016;14-03-2016
30;3;201510;844;;7650;;17;;14-03-2016;14-03-2016
31;1;201510;91;;6290;;83;;14-03-2016;14-03-2016
31;2;201510;341;;2447;;5;;14-03-2016;14-03-2016
31;3;201510;132;;809;;41;;14-03-2016;14-03-2016
38;1;201510;624;;6344;;94;;14-03-2016;14-03-2016
38;2;201510;660;;5282;;15;;14-03-2016;14-03-2016
38;3;201510;32;;4641;;55;;14-03-2016;14-03-2016
39;1;201510;10;;7947;;1;;14-03-2016;14-03-2016
39;2;201510;68;;7956;;72;;14-03-2016;14-03-2016
39;3;201510;958;;704;;61;;14-03-2016;14-03-2016
40;1;201510;17;;4638;;55;;14-03-2016;14-03-2016
40;2;201510;906;;7232;;10;;14-03-2016;14-03-2016
40;3;201510;174;;47;;26;;14-03-2016;14-03-2016
41;1;201510;603;;8422;;1;;14-03-2016;14-03-2016
41;2;201510;920;;5988;;89;;14-03-2016;14-03-2016
41;3;201510;994;;3902;;71;;14-03-2016;14-03-2016
42;1;201510;70;;3903;;85;;14-03-2016;14-03-2016
42;2;201510;535;;9452;;78;;14-03-2016;14-03-2016
42;3;201510;758;;2514;;66;;14-03-2016;14-03-2016
43;1;201510;58;;7594;;6;;14-03-2016;14-03-2016
43;2;201510;911;;154;;83;;14-03-2016;14-03-2016
43;3;201510;398;;9449;;33;;14-03-2016;14-03-2016
35;1;201510;162;;9234;;28;;14-03-2016;14-03-2016
35;2;201510;894;;7381;;93;;14-03-2016;14-03-2016
35;3;201510;349;;1772;;23;;14-03-2016;14-03-2016
36;1;201510;116;;3736;;89;;14-03-2016;14-03-2016
36;2;201510;470;;3234;;63;;14-03-2016;14-03-2016
36;3;201510;61;;988;;89;;14-03-2016;14-03-2016
37;1;201510;923;;2182;;63;;14-03-2016;14-03-2016
37;2;201510;681;;2239;;65;;14-03-2016;14-03-2016
37;3;201510;740;;9703;;85;;14-03-2016;14-03-2016
19;1;201510;759;;6575;;87;;14-03-2016;14-03-2016
19;2;201510;225;;1067;;89;;14-03-2016;14-03-2016
19;3;201510;935;;6498;;36;;14-03-2016;14-03-2016
45;1;201510;518;;1641;;69;;14-03-2016;14-03-2016
45;2;201510;484;;699;;41;;14-03-2016;14-03-2016
45;3;201510;534;;650;;25;;14-03-2016;14-03-2016
46;1;201510;225;;4984;;24;;14-03-2016;14-03-2016
46;2;201510;548;;9639;;74;;14-03-2016;14-03-2016
46;3;201510;198;;6928;;80;;14-03-2016;14-03-2016
47;1;201510;596;;874;;33;;14-03-2016;14-03-2016
